JDAY,K,I,EX_TOXIN_1,EX_TOXIN_2,EX_TOXIN_3,EX_TOXIN_4,IN_TOXIN_1,IN_TOXIN_2,IN_TOXIN_3,IN_TOXIN_4,CTESS_TOXIN_1,CTESS_TOXIN_2,CTESS_TOXIN_3,CTESS_TOXIN_4,ALG_1,
    66.604,   8,  28,  0.3195E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.3259E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1592E-07,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.6434E-01,
    66.604,  15,  28,  0.3250E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2499E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1122E-07,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.5020E-01,
    66.701,   8,  28,  0.3317E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2574E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1167E-07,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.5045E-01,
    66.701,  15,  28,  0.3345E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2647E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1200E-07,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.5312E-01,
    66.806,   8,  28,  0.3423E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1887E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.7408E-08,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.3705E-01,
    66.806,  15,  28,  0.3447E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2759E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1255E-07,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.5531E-01,
    66.903,   8,  28,  0.3509E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1568E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.5383E-08,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.3116E-01,
    66.903,  15,  28,  0.3537E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2822E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1282E-07,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.5648E-01,
    67.000,   8,  28,  0.3607E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1586E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.5372E-08,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.3198E-01,
    67.000,  15,  28,  0.3614E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2815E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1269E-07,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.5622E-01,
