Variable,JDAY,    1,    2,    3,    4,    5,    6,    7,    8,    9,   10,   11,   12,   13,   14,   15,   16,   17,   18,   19,   20,   21,   22,   23,   24,   25,   26,   27,   28,   29,   30,   31,   32,
NO3PorewaterAerobic_KB_Layer1(mgN/L),    90.500,      0.00,      0.23,      0.23,      0.21,      0.22,      0.23,      0.22,      0.22,      0.22,      0.23,      0.25,      0.25,      0.25,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),    91.500,      0.00,      0.22,      0.21,      0.23,      0.23,      0.22,      0.24,      0.25,      0.25,      0.25,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),    92.500,      0.00,      0.22,      0.21,      0.22,      0.22,      0.24,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.24,      0.25,      0.25,      0.25,      0.25,      0.24,      0.24,      0.24,      0.24,      0.24,      0.23,      0.23,      0.23,      0.23,      0.23,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),    93.500,      0.00,      0.25,      0.24,      0.23,      0.23,      0.23,      0.24,      0.25,      0.26,      0.26,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.26,      0.26,      0.25,      0.24,      0.24,      0.24,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),    94.500,      0.00,      0.27,      0.26,      0.24,      0.24,      0.24,      0.25,      0.25,      0.25,      0.25,      0.25,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.25,      0.25,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.23,      0.24,      0.23,      0.23,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),    95.500,      0.00,      0.29,      0.28,      0.27,      0.26,      0.24,      0.25,      0.26,      0.26,      0.26,      0.26,      0.26,      0.25,      0.25,      0.25,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),    96.500,      0.00,      0.28,      0.27,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.26,      0.26,      0.26,      0.25,      0.25,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),    97.500,      0.00,      0.26,      0.26,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.28,      0.27,      0.26,      0.25,      0.25,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),    98.500,      0.00,      0.26,      0.26,      0.28,      0.28,      0.28,      0.28,      0.28,      0.28,      0.28,      0.28,      0.28,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.26,      0.25,      0.25,      0.25,      0.25,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),    99.500,      0.00,      0.27,      0.27,      0.29,      0.32,      0.31,      0.31,      0.30,      0.30,      0.30,      0.29,      0.28,      0.28,      0.28,      0.27,      0.27,      0.27,      0.26,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.24,      0.24,      0.24,      0.24,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),   100.500,      0.00,      0.28,      0.27,      0.33,      0.32,      0.30,      0.29,      0.28,      0.28,      0.27,      0.27,      0.27,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.27,      0.26,      0.26,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),   101.500,      0.00,      0.28,      0.26,      0.29,      0.28,      0.28,      0.27,      0.27,      0.27,      0.27,      0.28,      0.27,      0.27,      0.28,      0.28,      0.28,      0.27,      0.27,      0.27,      0.26,      0.26,      0.26,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),   102.500,      0.00,      0.28,      0.27,      0.28,      0.28,      0.28,      0.28,      0.28,      0.28,      0.28,      0.29,      0.29,      0.29,      0.29,      0.29,      0.29,      0.29,      0.30,      0.31,      0.27,      0.26,      0.26,      0.26,      0.26,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),   103.500,      0.00,      0.27,      0.27,      0.30,      0.30,      0.30,      0.29,      0.29,      0.29,      0.29,      0.29,      0.29,      0.29,      0.29,      0.30,      0.30,      0.29,      0.28,      0.27,      0.26,      0.26,      0.26,      0.26,      0.26,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),   104.500,      0.00,      0.24,      0.25,      0.27,      0.29,      0.31,      0.32,      0.32,      0.31,      0.31,      0.30,      0.30,      0.30,      0.30,      0.30,      0.30,      0.29,      0.30,      0.27,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.25,      0.25,      0.25,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),   105.500,      0.00,      0.21,      0.21,      0.25,      0.32,      0.34,      0.35,      0.32,      0.31,      0.31,      0.31,      0.30,      0.30,      0.30,      0.29,      0.28,      0.27,      0.27,      0.27,      0.27,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),   106.500,      0.00,      0.20,      0.20,      0.22,      0.28,      0.32,      0.31,      0.30,      0.30,      0.30,      0.30,      0.29,      0.29,      0.29,      0.28,      0.28,      0.28,      0.29,      0.29,      0.30,      0.27,      0.27,      0.27,      0.27,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),   107.500,      0.00,      0.23,      0.22,      0.23,      0.25,      0.30,      0.31,      0.31,      0.31,      0.31,      0.31,      0.31,      0.31,      0.30,      0.30,      0.29,      0.29,      0.29,      0.30,      0.29,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.26,      0.26,      0.26,      0.26,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),   108.500,      0.00,      0.24,      0.24,      0.24,      0.27,      0.27,      0.27,      0.28,      0.30,      0.30,      0.32,      0.32,      0.32,      0.32,      0.32,      0.32,      0.32,      0.32,      0.30,      0.28,      0.28,      0.27,      0.27,      0.27,      0.27,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.00,
