 Branch:,           1 , # of structures:,           1 , outlet temperatures
      JDAY,      T(C),   Q(m3/s),    ELEVCL,
   88.1250,      8.76,     12.60,    110.00,
   88.2500,      8.83,     12.60,    110.00,
   88.3750,      8.89,     12.60,    110.00,
   88.5000,      8.99,     12.60,    110.00,
   88.6250,      9.05,     12.60,    110.00,
   88.7500,      9.20,     12.60,    110.00,
   88.8750,      9.33,     12.60,    110.00,
   89.0000,      9.43,     12.60,    110.00,
   89.1250,      9.45,     12.60,    110.00,
   89.2500,      9.41,     12.60,    110.00,
   89.3750,      9.45,     12.60,    110.00,
   89.5000,      9.43,     12.60,    110.00,
   89.6250,      9.30,     12.60,    110.00,
   89.7500,      9.02,     12.60,    110.00,
   89.8750,      8.80,     12.60,    110.00,
   90.0000,      8.73,     12.60,    110.00,
   90.1250,      8.73,     12.60,    110.00,
   90.2500,      8.81,     12.60,    110.00,
   90.3750,      8.91,     12.60,    110.00,
   90.5000,      9.12,     12.60,    110.00,
   90.6250,      9.56,     12.60,    110.00,
   90.7500,      9.93,     12.60,    110.00,
   90.8750,     10.14,     12.60,    110.00,
   91.0000,     10.16,     12.60,    110.00,
   91.1250,     10.18,     12.60,    110.00,
   91.2500,     10.20,     12.60,    110.00,
   91.3750,     10.21,     12.60,    110.00,
   91.5000,     10.25,     12.60,    110.00,
   91.6250,     10.30,     12.60,    110.00,
   91.7500,     10.39,     12.60,    110.00,
   91.8750,     10.29,     12.60,    110.00,
   92.0000,     10.08,     12.60,    110.00,
   92.1250,      9.99,     12.60,    110.00,
   92.2500,      9.62,     12.60,    110.00,
   92.3750,      9.20,     12.60,    110.00,
   92.5000,      8.85,     12.60,    110.00,
   92.6250,      8.56,     12.60,    110.00,
   92.7500,      8.32,     12.60,    110.00,
   92.8750,      8.37,     12.60,    110.00,
   93.0000,      8.55,     12.60,    110.00,
   93.1250,      8.86,     12.60,    110.00,
   93.2500,      8.99,     12.60,    110.00,
   93.3750,      9.10,     12.60,    110.00,
   93.5000,      9.19,     12.60,    110.00,
   93.6250,      9.19,     12.60,    110.00,
   93.7500,      9.22,     12.60,    110.00,
   93.8750,      9.25,     12.60,    110.00,
   94.0000,      9.35,     12.60,    110.00,
   94.1250,      9.44,     12.60,    110.00,
   94.2500,      9.50,     12.60,    110.00,
   94.3750,      9.50,     12.60,    110.00,
   94.5000,      9.54,     12.60,    110.00,
   94.6250,      9.93,     12.60,    110.00,
   94.7500,     10.65,     12.60,    110.00,
   94.8750,     11.16,     12.60,    110.00,
   95.0000,     11.54,     12.60,    110.00,
   95.1250,     11.63,     12.60,    110.00,
   95.2500,     11.76,     12.60,    110.00,
   95.3750,     11.83,     12.60,    110.00,
   95.5000,     11.85,     12.60,    110.00,
   95.6250,     11.86,     12.60,    110.00,
   95.7500,     11.92,     12.60,    110.00,
   95.8750,     11.72,     12.60,    110.00,
   96.0000,     11.29,     12.60,    110.00,
   96.1250,     10.95,     12.60,    110.00,
   96.2500,     10.38,     12.60,    110.00,
   96.3750,      9.98,     12.60,    110.00,
   96.5000,      9.74,     12.60,    110.00,
   96.6250,      9.83,     12.60,    110.00,
   96.7500,      9.00,     12.60,    110.00,
   96.8750,      7.75,     12.60,    110.00,
   97.0000,      7.96,     12.60,    110.00,
   97.1250,      8.88,     12.60,    110.00,
   97.2500,      9.36,     12.60,    110.00,
   97.3750,      9.42,     12.60,    110.00,
   97.5000,      9.34,     12.60,    110.00,
   97.6250,      9.56,     12.60,    110.00,
   97.7500,      9.98,     12.60,    110.00,
   97.8750,     10.31,     12.60,    110.00,
   98.0000,     10.59,     12.60,    110.00,
   98.1250,     10.70,     12.60,    110.00,
   98.2500,     10.73,     12.60,    110.00,
   98.3750,     10.78,     12.60,    110.00,
   98.5000,     10.79,     12.60,    110.00,
   98.6250,     10.67,     12.60,    110.00,
