$STR WITHDRAWAL AT SEG31                                     ELEV OF WITHDRAWAL CENTERLINE:115.     

JDAY,QWD(m3s-1)
   116.104,   12.6000
   116.201,   12.6000
   116.306,   12.6000
   116.403,   12.6000
   116.500,   12.6000
   116.604,   12.6000
   116.701,   12.6000
   116.806,   12.6000
   116.903,   12.6000
   117.000,   12.6000
   117.104,   12.6000
   117.201,   12.6000
   117.306,   12.6000
   117.403,   12.6000
   117.500,   12.6000
   117.604,   12.6000
   117.701,   12.6000
   117.806,   12.6000
   117.903,   12.6000
   118.000,   12.6000
   118.104,   12.6000
   118.201,   12.6000
   118.306,   12.6000
   118.403,   12.6000
   118.500,   12.6000
   118.604,   12.6000
   118.701,   12.6000
   118.806,   12.6000
   118.903,   12.6000
   119.000,   12.6000
   119.104,   12.6000
   119.201,   12.6000
   119.306,   12.6000
   119.403,   12.6000
   119.500,   12.6000
   119.604,   12.6000
   119.701,   12.6000
   119.806,   12.6000
   119.903,   12.6000
   120.000,   12.6000
   120.104,   12.6000
   120.201,   12.6000
   120.306,   12.6000
   120.403,   12.6000
   120.500,   12.6000
   120.604,   12.6000
   120.701,   12.6000
   120.806,   12.6000
   120.903,   12.6000
   121.000,   12.6000
   121.104,   12.6000
   121.201,   12.6000
   121.306,   12.6000
   121.403,   12.6000
   121.500,   12.6000
   121.604,   12.6000
   121.701,   12.6000
   121.806,   12.6000
   121.903,   12.6000
   122.000,   12.6000
   122.104,   12.6000
   122.201,   12.6000
   122.306,   12.6000
   122.403,   12.6000
   122.500,   12.6000
   122.604,   12.6000
   122.701,   12.6000
   122.806,   12.6000
   122.903,   12.6000
   123.000,   12.6000
   123.104,   12.6000
   123.201,   12.6000
   123.306,   12.6000
   123.403,   12.6000
   123.500,   12.6000
   123.604,   12.6000
   123.701,   12.6000
   123.806,   12.6000
   123.903,   12.6000
   124.000,   12.6000
   124.104,   12.6000
   124.201,   12.6000
   124.306,   12.6000
   124.403,   12.6000
   124.500,   12.6000
   124.604,   12.6000
   124.701,   12.6000
   124.806,   12.6000
   124.903,   12.6000
   125.000,   12.6000
   125.104,   12.6000
   125.201,   12.6000
   125.306,   12.6000
   125.403,   12.6000
   125.500,   12.6000
   125.604,   12.6000
   125.701,   12.6000
   125.806,   12.6000
   125.903,   12.6000
   126.000,   12.6000
   126.104,   12.6000
   126.201,   12.6000
   126.306,   12.6000
   126.403,   12.6000
