$GATE WITHDRAWAL AT SEG31                                    ELEV OF WITHDRAWAL CENTERLINE:120.     

JDAY,T(C)
   106.604,   13.42
   106.701,   13.70
   106.806,   13.77
   106.903,   13.73
   107.000,   13.68
   107.104,   13.65
   107.201,   13.61
   107.306,   13.58
   107.403,   13.59
   107.500,   13.65
   107.604,   13.68
   107.701,   13.65
   107.806,   13.54
   107.903,   13.41
   108.000,   13.31
   108.104,   13.25
   108.201,   13.18
   108.306,   13.14
   108.403,   13.21
   108.500,   13.35
   108.604,   13.51
   108.701,   13.57
   108.806,   13.70
   108.903,   13.71
   109.000,   13.66
   109.104,   13.60
   109.201,   13.54
   109.306,   13.48
   109.403,   13.46
   109.500,   13.48
   109.604,   13.42
   109.701,   13.37
   109.806,   13.35
   109.903,   13.33
   110.000,   13.34
   110.104,   13.44
   110.201,   13.54
   110.306,   13.55
   110.403,   13.63
   110.500,   13.87
   110.604,   14.19
   110.701,   14.41
   110.806,   14.47
   110.903,   14.34
   111.000,   14.27
   111.104,   14.34
   111.201,   14.41
   111.306,   14.41
   111.403,   14.50
   111.500,   14.68
   111.604,   14.91
   111.701,   15.05
   111.806,   15.05
   111.903,   15.02
   112.000,   15.12
   112.104,   15.23
   112.201,   15.23
   112.306,   15.19
   112.403,   15.29
   112.500,   15.50
   112.604,   15.82
   112.701,   16.14
   112.806,   16.26
   112.903,   16.24
   113.000,   16.27
   113.104,   16.35
   113.201,   16.31
   113.306,   16.29
   113.403,   16.37
   113.500,   16.52
   113.604,   16.70
   113.701,   16.77
   113.806,   16.66
   113.903,   16.67
   114.000,   16.85
   114.104,   16.99
   114.201,   16.99
   114.306,   16.98
   114.403,   17.06
   114.500,   17.23
   114.604,   17.54
   114.701,   17.80
   114.806,   17.96
   114.903,   18.03
   115.000,   17.99
   115.104,   17.93
   115.201,   17.87
   115.306,   17.83
   115.403,   17.86
   115.500,   18.04
   115.604,   18.27
   115.701,   18.41
   115.806,   18.44
   115.903,   18.38
   116.000,   18.20
   116.104,   17.82
   116.201,   17.16
   116.306,   16.52
   116.403,   16.14
   116.500,   15.91
   116.604,   15.91
   116.701,   15.99
   116.806,   16.27
   116.903,   16.37
   117.000,   16.29
   117.104,   16.23
   117.201,   16.23
   117.306,   16.22
   117.403,   16.23
   117.500,   16.29
   117.604,   16.37
   117.701,   16.48
   117.806,   16.53
   117.903,   16.51
   118.000,   16.51
   118.104,   16.52
   118.201,   16.51
   118.306,   16.50
   118.403,   16.56
   118.500,   16.73
   118.604,   17.04
   118.701,   17.27
   118.806,   17.31
   118.903,   17.28
   119.000,   17.25
   119.104,   17.21
   119.201,   17.15
   119.306,   17.11
   119.403,   17.16
   119.500,   17.34
   119.604,   17.64
   119.701,   17.90
   119.806,   18.03
   119.903,   17.96
   120.000,   17.90
   120.104,   17.84
   120.201,   17.77
   120.306,   17.71
   120.403,   17.73
   120.500,   17.89
   120.604,   18.24
   120.701,   18.59
   120.806,   18.67
   120.903,   18.60
   121.000,   18.53
   121.104,   18.46
   121.201,   18.38
   121.306,   18.31
   121.403,   18.30
   121.500,   18.30
   121.604,   18.23
   121.701,   18.12
   121.806,   18.01
   121.903,   17.99
   122.000,   17.98
   122.104,   17.96
   122.201,   17.98
   122.306,   17.93
   122.403,   17.73
   122.500,   17.46
   122.604,   17.28
   122.701,   17.23
   122.806,   17.20
   122.903,   17.26
   123.000,   17.44
   123.104,   17.66
   123.201,   17.70
   123.306,   17.72
   123.403,   17.77
   123.500,   17.80
   123.604,   17.79
   123.701,   17.70
   123.806,   17.68
   123.903,   17.70
   124.000,   17.73
   124.104,   17.84
   124.201,   17.86
   124.306,   17.86
   124.403,   17.90
   124.500,   18.08
   124.604,   18.23
   124.701,   18.25
   124.806,   18.12
   124.903,   17.99
   125.000,   17.93
   125.104,   18.00
   125.201,   18.14
   125.306,   18.14
   125.403,   18.24
   125.500,   18.42
   125.604,   18.70
   125.701,   18.87
   125.806,   18.95
   125.903,   18.98
   126.000,   19.02
   126.104,   18.96
   126.201,   18.89
   126.306,   18.83
   126.403,   18.87
   126.500,   19.04
   126.604,   19.32
   126.701,   19.57
   126.806,   19.70
   126.903,   19.72
   127.000,   19.65
   127.104,   19.60
   127.201,   19.54
   127.306,   19.50
   127.403,   19.53
   127.500,   19.65
   127.604,   19.96
   127.701,   20.32
   127.806,   20.54
   127.903,   20.58
   128.000,   20.53
   128.104,   20.46
   128.201,   20.41
   128.306,   20.37
   128.403,   20.39
   128.500,   20.46
   128.604,   20.55
   128.701,   20.58
   128.806,   20.48
   128.903,   20.35
   129.000,   20.21
   129.104,   20.19
   129.201,   20.16
   129.306,   20.12
   129.403,   20.13
   129.500,   20.17
   129.604,   20.28
   129.701,   20.35
   129.806,   20.35
   129.903,   20.24
   130.000,   20.14
   130.104,   20.02
   130.201,   19.89
   130.306,   19.82
   130.403,   19.84
   130.500,   19.85
