                  JDAY,WB,TP-Waterbody(kg),TP-Sediment(kg),TP-Plants(kg),OutflowTP(kg),TributaryTP(kg),DistributedTributaryTP(kg),WithdrawalTP(kg),PrecipitationTP(kg),InflowTP(kg),AtmosphericDepositionP(kg),SED+SOD_PRelease(kg),PFluxtoSediments(kg),SedimentDiagenesisPFlux(kg),TN-Waterbody(kg),TN-Sediment(kg),TN-Plants(kg),OutflowTN(kg),TributaryTN(kg),DistributedTributaryTN(kg),WithdrawalTN(kg),PrecipitationTN(kg),InflowTN(kg),AtmosphericDepositionN(kg),NH3GasLoss(kg),SED+SOD_NRelease(kg),NFluxtoSediments(kg),SedimentDiagenesisNH4Flux(kg),SedimentDiagenesisNO3Flux(kg)
   267.500,   1,  0.44143911E+05,   0.00000000E+00,   0.00000000E+00,   0.12017789E+05,   0.00000000E+00,   0.00000000E+00,   0.99415609E+01,   0.00000000E+00,   0.31953933E+04,   0.49857301E+03,   0.00000000E+00,   0.00000000E+00,   0.19099683E+01,   0.64704446E+06,   0.00000000E+00,   0.00000000E+00,   0.11981879E+06,   0.00000000E+00,   0.00000000E+00,   0.88968918E+02,   0.00000000E+00,   0.34073239E+05,   0.46290300E+02,   0.26282226E+05,   0.00000000E+00,   0.00000000E+00,   0.59713885E+01,   0.36797819E+01,
   274.500,   1,  0.44236150E+05,   0.00000000E+00,   0.00000000E+00,   0.12458382E+05,   0.00000000E+00,   0.00000000E+00,   0.10134058E+02,   0.00000000E+00,   0.33373755E+04,   0.51444355E+03,   0.00000000E+00,   0.00000000E+00,   0.19323004E+01,   0.65114019E+06,   0.00000000E+00,   0.00000000E+00,   0.12294178E+06,   0.00000000E+00,   0.00000000E+00,   0.90630498E+02,   0.00000000E+00,   0.38640715E+05,   0.47828932E+02,   0.28708348E+05,   0.00000000E+00,   0.00000000E+00,   0.60588062E+01,   0.38159892E+01,
   281.500,   1,  0.44460376E+05,   0.00000000E+00,   0.00000000E+00,   0.12845213E+05,   0.00000000E+00,   0.00000000E+00,   0.10359494E+02,   0.00000000E+00,   0.34998291E+04,   0.53024888E+03,   0.00000000E+00,   0.00000000E+00,   0.19512815E+01,   0.65708708E+06,   0.00000000E+00,   0.00000000E+00,   0.12578381E+06,   0.00000000E+00,   0.00000000E+00,   0.92763897E+02,   0.00000000E+00,   0.44546792E+05,   0.49380603E+02,   0.30939864E+05,   0.00000000E+00,   0.00000000E+00,   0.61313359E+01,   0.39152621E+01,
   288.500,   1,  0.44428664E+05,   0.00000000E+00,   0.00000000E+00,   0.13182711E+05,   0.00000000E+00,   0.00000000E+00,   0.10576539E+02,   0.00000000E+00,   0.35764173E+04,   0.54598903E+03,   0.00000000E+00,   0.00000000E+00,   0.19677185E+01,   0.65413505E+06,   0.00000000E+00,   0.00000000E+00,   0.12843240E+06,   0.00000000E+00,   0.00000000E+00,   0.94808837E+02,   0.00000000E+00,   0.45559309E+05,   0.50945314E+02,   0.32627260E+05,   0.00000000E+00,   0.00000000E+00,   0.61905410E+01,   0.39877192E+01,
   295.500,   1,  0.44328026E+05,   0.00000000E+00,   0.00000000E+00,   0.13480883E+05,   0.00000000E+00,   0.00000000E+00,   0.10829517E+02,   0.00000000E+00,   0.36526221E+04,   0.56166397E+03,   0.00000000E+00,   0.00000000E+00,   0.19824940E+01,   0.64921552E+06,   0.00000000E+00,   0.00000000E+00,   0.13146913E+06,   0.00000000E+00,   0.00000000E+00,   0.98214138E+02,   0.00000000E+00,   0.46549971E+05,   0.52523063E+02,   0.34182903E+05,   0.00000000E+00,   0.00000000E+00,   0.62423040E+01,   0.40416659E+01,
   302.500,   1,  0.44570416E+05,   0.00000000E+00,   0.00000000E+00,   0.13750803E+05,   0.00000000E+00,   0.00000000E+00,   0.11080181E+02,   0.00000000E+00,   0.37617156E+04,   0.57727372E+03,   0.00000000E+00,   0.00000000E+00,   0.19958859E+01,   0.65015996E+06,   0.00000000E+00,   0.00000000E+00,   0.13420115E+06,   0.00000000E+00,   0.00000000E+00,   0.10155632E+03,   0.00000000E+00,   0.47672188E+05,   0.54113852E+02,   0.35190697E+05,   0.00000000E+00,   0.00000000E+00,   0.62873221E+01,   0.40846575E+01,
   309.500,   1,  0.44975853E+05,   0.00000000E+00,   0.00000000E+00,   0.13999481E+05,   0.00000000E+00,   0.00000000E+00,   0.11367637E+02,   0.00000000E+00,   0.38810448E+04,   0.59281828E+03,   0.00000000E+00,   0.00000000E+00,   0.20076784E+01,   0.65577874E+06,   0.00000000E+00,   0.00000000E+00,   0.13685896E+06,   0.00000000E+00,   0.00000000E+00,   0.10505111E+03,   0.00000000E+00,   0.48966903E+05,   0.55717679E+02,   0.35595170E+05,   0.00000000E+00,   0.00000000E+00,   0.63258627E+01,   0.41183502E+01,
   316.500,   1,  0.45099677E+05,   0.00000000E+00,   0.00000000E+00,   0.14262910E+05,   0.00000000E+00,   0.00000000E+00,   0.11666720E+02,   0.00000000E+00,   0.39574413E+04,   0.60829764E+03,   0.00000000E+00,   0.00000000E+00,   0.20181662E+01,   0.65871495E+06,   0.00000000E+00,   0.00000000E+00,   0.13981907E+06,   0.00000000E+00,   0.00000000E+00,   0.10870241E+03,   0.00000000E+00,   0.50262385E+05,   0.57334547E+02,   0.35792327E+05,   0.00000000E+00,   0.00000000E+00,   0.63596950E+01,   0.41387412E+01,
   323.500,   1,  0.45414643E+05,   0.00000000E+00,   0.00000000E+00,   0.14495251E+05,   0.00000000E+00,   0.00000000E+00,   0.11984853E+02,   0.00000000E+00,   0.40994235E+04,   0.62371180E+03,   0.00000000E+00,   0.00000000E+00,   0.20278229E+01,   0.66504956E+06,   0.00000000E+00,   0.00000000E+00,   0.14278955E+06,   0.00000000E+00,   0.00000000E+00,   0.11300354E+03,   0.00000000E+00,   0.51557866E+05,   0.58964453E+02,   0.35884769E+05,   0.00000000E+00,   0.00000000E+00,   0.63909297E+01,   0.41494985E+01,
   330.500,   1,  0.46154303E+05,   0.00000000E+00,   0.00000000E+00,   0.14745345E+05,   0.00000000E+00,   0.00000000E+00,   0.12328522E+02,   0.00000000E+00,   0.42618771E+04,   0.63906077E+03,   0.00000000E+00,   0.00000000E+00,   0.20365464E+01,   0.68013130E+06,   0.00000000E+00,   0.00000000E+00,   0.14586701E+06,   0.00000000E+00,   0.00000000E+00,   0.11745995E+03,   0.00000000E+00,   0.52853348E+05,   0.60607398E+02,   0.35907608E+05,   0.00000000E+00,   0.00000000E+00,   0.64173877E+01,   0.41575062E+01,
   337.500,   1,  0.46737464E+05,   0.00000000E+00,   0.00000000E+00,   0.15000368E+05,   0.00000000E+00,   0.00000000E+00,   0.12695383E+02,   0.00000000E+00,   0.43384653E+04,   0.65434454E+03,   0.00000000E+00,   0.00000000E+00,   0.20443191E+01,   0.69464777E+06,   0.00000000E+00,   0.00000000E+00,   0.14921862E+06,   0.00000000E+00,   0.00000000E+00,   0.12235936E+03,   0.00000000E+00,   0.54148829E+05,   0.62263383E+02,   0.35932292E+05,   0.00000000E+00,   0.00000000E+00,   0.64385040E+01,   0.41621828E+01,
   344.500,   1,  0.46940920E+05,   0.00000000E+00,   0.00000000E+00,   0.15260606E+05,   0.00000000E+00,   0.00000000E+00,   0.13056961E+02,   0.00000000E+00,   0.44475588E+04,   0.66956311E+03,   0.00000000E+00,   0.00000000E+00,   0.20513424E+01,   0.70273194E+06,   0.00000000E+00,   0.00000000E+00,   0.15286472E+06,   0.00000000E+00,   0.00000000E+00,   0.12737023E+03,   0.00000000E+00,   0.55444311E+05,   0.63932407E+02,   0.35949430E+05,   0.00000000E+00,   0.00000000E+00,   0.64538140E+01,   0.41629715E+01,
   351.500,   1,  0.47795443E+05,   0.00000000E+00,   0.00000000E+00,   0.15479631E+05,   0.00000000E+00,   0.00000000E+00,   0.13396698E+02,   0.00000000E+00,   0.45997767E+04,   0.68471649E+03,   0.00000000E+00,   0.00000000E+00,   0.20578439E+01,   0.71966279E+06,   0.00000000E+00,   0.00000000E+00,   0.15587756E+06,   0.00000000E+00,   0.00000000E+00,   0.13205970E+03,   0.00000000E+00,   0.56739793E+05,   0.65614470E+02,   0.35963860E+05,   0.00000000E+00,   0.00000000E+00,   0.64664986E+01,   0.41602951E+01,
   358.500,   1,  0.48503115E+05,   0.00000000E+00,   0.00000000E+00,   0.15717646E+05,   0.00000000E+00,   0.00000000E+00,   0.13761991E+02,   0.00000000E+00,   0.47192976E+04,   0.69980467E+03,   0.00000000E+00,   0.00000000E+00,   0.20638361E+01,   0.73261206E+06,   0.00000000E+00,   0.00000000E+00,   0.15942301E+06,   0.00000000E+00,   0.00000000E+00,   0.13738169E+03,   0.00000000E+00,   0.58035274E+05,   0.67309572E+02,   0.35976849E+05,   0.00000000E+00,   0.00000000E+00,   0.64763668E+01,   0.41547419E+01,
