Variable,JDAY,    1,    2,    3,    4,    5,    6,    7,    8,    9,   10,   11,   12,   13,   14,   15,   16,   17,   18,   19,   20,   21,   22,   23,   24,   25,   26,   27,   28,   29,   30,   31,   32,
NH3PorewaterAerobic_KB_Layer1(mgN/L),    90.500,      0.00,      0.47,      0.49,      0.56,      0.59,      0.63,      0.64,      0.65,      0.66,      0.66,      0.66,      0.66,      0.66,      0.66,      0.66,      0.66,      0.66,      0.65,      0.65,      0.65,      0.65,      0.65,      0.65,      0.64,      0.64,      0.64,      0.64,      0.64,      0.65,      0.65,      0.64,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),    91.500,      0.00,      0.51,      0.52,      0.63,      0.66,      0.66,      0.66,      0.66,      0.66,      0.66,      0.66,      0.66,      0.66,      0.66,      0.65,      0.65,      0.65,      0.65,      0.65,      0.66,      0.65,      0.65,      0.64,      0.64,      0.64,      0.64,      0.64,      0.64,      0.65,      0.65,      0.65,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),    92.500,      0.00,      0.51,      0.52,      0.54,      0.60,      0.67,      0.67,      0.66,      0.66,      0.66,      0.66,      0.66,      0.66,      0.66,      0.65,      0.65,      0.65,      0.64,      0.64,      0.65,      0.64,      0.65,      0.65,      0.65,      0.65,      0.64,      0.64,      0.64,      0.64,      0.64,      0.64,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),    93.500,      0.00,      0.45,      0.47,      0.52,      0.55,      0.61,      0.64,      0.66,      0.67,      0.67,      0.66,      0.66,      0.66,      0.66,      0.66,      0.65,      0.65,      0.65,      0.64,      0.64,      0.64,      0.65,      0.64,      0.64,      0.63,      0.63,      0.63,      0.63,      0.64,      0.64,      0.63,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),    94.500,      0.00,      0.40,      0.42,      0.49,      0.55,      0.59,      0.61,      0.62,      0.65,      0.65,      0.66,      0.66,      0.66,      0.66,      0.66,      0.66,      0.65,      0.65,      0.65,      0.65,      0.65,      0.64,      0.64,      0.64,      0.63,      0.63,      0.64,      0.63,      0.63,      0.64,      0.63,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),    95.500,      0.00,      0.36,      0.39,      0.64,      0.64,      0.65,      0.66,      0.66,      0.66,      0.66,      0.65,      0.65,      0.65,      0.65,      0.65,      0.66,      0.66,      0.66,      0.66,      0.65,      0.65,      0.65,      0.64,      0.64,      0.64,      0.63,      0.63,      0.63,      0.64,      0.63,      0.63,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),    96.500,      0.00,      0.38,      0.39,      0.69,      0.68,      0.67,      0.66,      0.65,      0.66,      0.66,      0.66,      0.66,      0.65,      0.66,      0.65,      0.66,      0.65,      0.64,      0.64,      0.64,      0.64,      0.65,      0.65,      0.65,      0.64,      0.64,      0.64,      0.63,      0.64,      0.64,      0.63,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),    97.500,      0.00,      0.41,      0.41,      0.63,      0.63,      0.65,      0.65,      0.65,      0.65,      0.65,      0.65,      0.64,      0.64,      0.64,      0.64,      0.64,      0.64,      0.63,      0.62,      0.62,      0.63,      0.64,      0.64,      0.63,      0.63,      0.63,      0.63,      0.63,      0.63,      0.63,      0.63,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),    98.500,      0.00,      0.40,      0.42,      0.61,      0.64,      0.65,      0.64,      0.63,      0.64,      0.64,      0.64,      0.65,      0.65,      0.65,      0.64,      0.64,      0.64,      0.63,      0.64,      0.64,      0.64,      0.64,      0.64,      0.63,      0.63,      0.63,      0.63,      0.63,      0.63,      0.63,      0.63,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),    99.500,      0.00,      0.38,      0.40,      0.60,      0.61,      0.62,      0.62,      0.62,      0.62,      0.63,      0.64,      0.64,      0.64,      0.65,      0.64,      0.64,      0.64,      0.64,      0.64,      0.65,      0.65,      0.64,      0.64,      0.63,      0.63,      0.62,      0.62,      0.62,      0.63,      0.63,      0.63,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),   100.500,      0.00,      0.36,      0.39,      0.64,      0.62,      0.63,      0.65,      0.64,      0.64,      0.64,      0.64,      0.64,      0.64,      0.64,      0.64,      0.64,      0.64,      0.64,      0.63,      0.64,      0.64,      0.64,      0.64,      0.64,      0.63,      0.63,      0.63,      0.62,      0.62,      0.63,      0.63,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),   101.500,      0.00,      0.39,      0.41,      0.67,      0.65,      0.65,      0.65,      0.65,      0.64,      0.64,      0.63,      0.63,      0.63,      0.63,      0.63,      0.63,      0.63,      0.63,      0.64,      0.64,      0.65,      0.65,      0.64,      0.64,      0.64,      0.63,      0.63,      0.62,      0.62,      0.63,      0.63,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),   102.500,      0.00,      0.40,      0.42,      0.65,      0.65,      0.64,      0.65,      0.64,      0.63,      0.63,      0.63,      0.62,      0.62,      0.62,      0.62,      0.62,      0.62,      0.60,      0.59,      0.64,      0.65,      0.64,      0.64,      0.63,      0.62,      0.62,      0.62,      0.62,      0.63,      0.63,      0.63,      0.00,
