$GATE WITHDRAWAL AT SEG31                                    ELEV OF WITHDRAWAL CENTERLINE:120.     

JDAY,T(C)
   129.306,   20.12
   129.403,   20.13
   129.500,   20.17
   129.604,   20.27
   129.701,   20.34
   129.806,   20.34
   129.903,   20.24
   130.000,   20.13
   130.104,   20.02
   130.201,   19.90
   130.306,   19.80
   130.403,   19.83
   130.500,   19.83
   130.604,   19.81
   130.701,   19.87
   130.806,   19.80
   130.903,   19.71
   131.000,   19.70
   131.104,   19.63
   131.201,   19.47
   131.306,   19.27
   131.403,   19.29
   131.500,   19.55
   131.604,   19.78
   131.701,   19.87
   131.806,   20.01
   131.903,   20.07
   132.000,   20.07
   132.104,   20.03
   132.201,   20.04
   132.306,   20.03
   132.403,   19.97
   132.500,   20.03
   132.604,   20.27
   132.701,   20.43
   132.806,   20.53
   132.903,   20.58
   133.000,   20.52
   133.104,   20.43
   133.201,   20.46
   133.306,   20.48
   133.403,   20.41
   133.500,   20.40
   133.604,   20.54
   133.701,   20.59
   133.806,   20.66
   133.903,   20.74
   134.000,   20.71
   134.104,   20.68
   134.201,   20.67
   134.306,   20.68
   134.403,   20.69
   134.500,   20.81
   134.604,   21.04
   134.701,   21.21
   134.806,   21.32
   134.903,   21.40
   135.000,   21.42
   135.104,   21.39
   135.201,   21.32
   135.306,   21.21
   135.403,   20.84
   135.500,   20.39
   135.604,   20.27
   135.701,   20.14
   135.806,   20.45
   135.903,   20.74
   136.000,   20.69
   136.104,   20.58
   136.201,   20.45
   136.306,   20.29
   136.403,   20.01
   136.500,   19.71
   136.604,   19.53
   136.701,   19.09
   136.806,   18.61
   136.903,   18.62
   137.000,   18.71
   137.104,   18.75
   137.201,   18.92
   137.306,   18.98
   137.403,   19.10
   137.500,   19.23
   137.604,   19.37
   137.701,   19.51
   137.806,   19.58
   137.903,   19.58
   138.000,   19.60
   138.104,   19.67
   138.201,   19.74
   138.306,   19.76
   138.403,   19.91
   138.500,   20.29
   138.604,   20.85
   138.701,   21.24
   138.806,   21.41
   138.903,   21.43
   139.000,   21.41
   139.104,   21.37
   139.201,   21.33
   139.306,   21.33
   139.403,   21.39
   139.500,   21.60
   139.604,   21.81
   139.701,   21.91
   139.806,   21.93
   139.903,   21.98
   140.000,   22.06
   140.104,   22.05
   140.201,   22.05
   140.306,   22.03
   140.403,   22.03
   140.500,   22.00
   140.604,   21.90
   140.701,   21.74
   140.806,   21.63
   140.903,   21.74
   141.000,   21.88
   141.104,   21.87
   141.201,   21.82
   141.306,   21.79
   141.403,   21.84
   141.500,   21.96
   141.604,   22.15
   141.701,   22.26
   141.806,   22.34
   141.903,   22.36
   142.000,   22.41
   142.104,   22.43
   142.201,   22.38
   142.306,   22.35
   142.403,   22.34
   142.500,   22.34
   142.604,   22.37
   142.701,   22.19
   142.806,   21.98
   142.903,   22.13
   143.000,   22.22
   143.104,   22.24
   143.201,   22.21
   143.306,   22.15
   143.403,   22.12
   143.500,   22.15
   143.604,   22.20
   143.701,   22.28
   143.806,   22.30
   143.903,   22.26
   144.000,   22.23
   144.104,   22.17
   144.201,   22.13
   144.306,   22.09
   144.403,   22.09
   144.500,   22.13
   144.604,   22.27
   144.701,   22.36
   144.806,   22.38
   144.903,   22.34
   145.000,   22.28
   145.104,   22.19
   145.201,   22.10
   145.306,   22.08
   145.403,   22.13
   145.500,   22.26
   145.604,   22.44
   145.701,   22.57
   145.806,   22.60
   145.903,   22.49
   146.000,   22.38
   146.104,   22.37
   146.201,   22.51
   146.306,   22.63
   146.403,   22.73
   146.500,   22.88
   146.604,   22.96
   146.701,   22.91
   146.806,   22.69
   146.903,   22.54
   147.000,   22.59
   147.104,   22.77
   147.201,   22.94
   147.306,   23.07
   147.403,   23.13
   147.500,   23.05
   147.604,   22.86
   147.701,   22.72
   147.806,   22.74
   147.903,   23.09
   148.000,   23.33
   148.104,   23.49
   148.201,   23.50
   148.306,   23.50
   148.403,   23.42
   148.500,   23.24
   148.604,   23.15
   148.701,   23.31
   148.806,   23.50
   148.903,   23.71
   149.000,   23.79
   149.104,   23.74
   149.201,   23.67
   149.306,   23.63
   149.403,   23.64
   149.500,   23.68
   149.604,   23.69
   149.701,   23.71
   149.806,   23.80
   149.903,   23.97
   150.000,   24.06
   150.104,   24.06
   150.201,   24.02
   150.306,   24.01
   150.403,   24.03
   150.500,   24.11
   150.604,   24.23
   150.701,   24.37
   150.806,   24.42
   150.903,   24.42
   151.000,   24.40
   151.104,   24.31
   151.201,   24.23
   151.306,   24.15
   151.403,   24.09
   151.500,   24.14
   151.604,   24.32
   151.701,   24.35
   151.806,   24.45
   151.903,   24.34
   152.000,   24.23
   152.104,   24.19
   152.201,   24.17
   152.306,   24.18
   152.403,   24.21
   152.500,   24.23
   152.604,   24.40
   152.701,   24.47
   152.806,   24.64
   152.903,   24.71
   153.000,   24.70
   153.104,   24.65
   153.201,   24.57
   153.306,   24.53
   153.403,   24.56
   153.500,   24.67
   153.604,   24.92
   153.701,   25.03
   153.806,   25.07
   153.903,   25.00
   154.000,   24.87
   154.104,   24.88
   154.201,   24.84
   154.306,   24.83
   154.403,   24.85
   154.500,   24.95
   154.604,   25.12
   154.701,   25.27
   154.806,   25.37
   154.903,   25.38
   155.000,   25.31
   155.104,   25.23
   155.201,   25.14
   155.306,   25.18
   155.403,   25.25
   155.500,   25.40
   155.604,   25.59
   155.701,   25.75
   155.806,   25.85
   155.903,   25.88
   156.000,   25.89
   156.104,   25.86
   156.201,   25.79
   156.306,   25.76
   156.403,   25.83
   156.500,   25.97
   156.604,   26.17
   156.701,   26.28
   156.806,   26.32
   156.903,   26.34
   157.000,   26.37
   157.104,   26.37
   157.201,   26.31
   157.306,   26.27
   157.403,   26.33
   157.500,   26.49
   157.604,   26.69
   157.701,   26.82
   157.806,   26.87
   157.903,   26.88
   158.000,   26.90
   158.104,   26.82
   158.201,   26.74
   158.306,   26.70
   158.403,   26.74
   158.500,   26.79
   158.604,   26.97
   158.701,   27.10
   158.806,   27.16
   158.903,   27.16
   159.000,   27.21
   159.104,   27.15
   159.201,   27.08
   159.306,   27.04
   159.403,   27.06
   159.500,   27.13
   159.604,   27.35
   159.701,   27.56
   159.806,   27.60
   159.903,   27.61
   160.000,   27.58
   160.104,   27.58
   160.201,   27.61
   160.306,   27.57
   160.403,   27.53
   160.500,   27.44
   160.604,   27.45
   160.701,   27.48
   160.806,   27.47
   160.903,   27.39
   161.000,   27.26
   161.104,   27.11
   161.201,   26.97
   161.306,   26.89
   161.403,   26.87
   161.500,   26.90
   161.604,   26.95
   161.701,   27.03
   161.806,   27.13
   161.903,   27.04
   162.000,   26.98
   162.104,   26.84
   162.201,   26.71
   162.306,   26.65
   162.403,   26.73
   162.500,   26.88
   162.604,   27.05
   162.701,   27.16
   162.806,   27.10
   162.903,   27.03
   163.000,   27.04
   163.104,   26.95
   163.201,   26.86
   163.306,   26.77
   163.403,   26.74
   163.500,   26.65
   163.604,   26.59
   163.701,   26.72
   163.806,   26.88
   163.903,   26.90
   164.000,   26.84
   164.104,   26.69
   164.201,   26.54
   164.306,   26.43
   164.403,   26.44
   164.500,   26.37
   164.604,   26.29
   164.701,   26.29
   164.806,   26.38
   164.903,   26.44
   165.000,   26.38
   165.104,   26.27
   165.201,   26.15
   165.306,   26.07
   165.403,   26.12
   165.500,   26.26
   165.604,   26.52
   165.701,   26.73
   165.806,   26.85
   165.903,   26.82
   166.000,   26.73
   166.104,   26.62
   166.201,   26.54
   166.306,   26.48
   166.403,   26.58
   166.500,   26.77
   166.604,   26.99
   166.701,   27.18
   166.806,   27.25
   166.903,   27.21
   167.000,   27.11
   167.104,   27.05
   167.201,   27.01
   167.306,   26.97
   167.403,   27.01
   167.500,   27.19
   167.604,   27.46
   167.701,   27.69
   167.806,   27.80
   167.903,   27.81
   168.000,   27.75
   168.104,   27.65
   168.201,   27.54
   168.306,   27.50
   168.403,   27.60
   168.500,   27.72
   168.604,   27.82
   168.701,   27.92
   168.806,   27.94
   168.903,   27.87
   169.000,   27.80
   169.104,   27.69
   169.201,   27.59
   169.306,   27.45
   169.403,   27.36
   169.500,   27.39
   169.604,   27.46
   169.701,   27.50
   169.806,   27.46
   169.903,   27.39
   170.000,   27.31
   170.104,   27.24
   170.201,   27.17
   170.306,   27.14
   170.403,   27.17
   170.500,   27.21
   170.604,   27.26
   170.701,   27.29
   170.806,   27.27
   170.903,   27.24
   171.000,   27.22
   171.104,   27.21
   171.201,   27.21
   171.306,   27.13
   171.403,   27.08
   171.500,   27.12
   171.604,   27.27
   171.701,   27.42
   171.806,   27.48
   171.903,   27.45
   172.000,   27.35
   172.104,   27.27
   172.201,   27.21
   172.306,   27.15
   172.403,   27.15
   172.500,   27.13
   172.604,   27.03
   172.701,   26.93
   172.806,   26.89
   172.903,   26.85
   173.000,   26.75
   173.104,   26.65
   173.201,   26.56
   173.306,   26.48
   173.403,   26.48
   173.500,   26.56
   173.604,   26.72
   173.701,   26.84
   173.806,   26.94
   173.903,   26.94
   174.000,   26.89
   174.104,   26.81
   174.201,   26.77
