JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),
    73.903,   600.000,   123.800,     7.814,    -0.052,    12.897,     0.000,     0.450,    51.450,  2866.000,     1.000,     8.219,  -136.501,     0.000,   262.825,   349.004,    53.095,    -2.772,     0.000,
    74.000,   600.000,   123.801,     7.993,    -0.038,    12.629,     0.000,     0.450,    51.451,  2866.000,     1.000,     8.356,  -165.288,     0.000,   250.908,   348.970,    58.669,     8.558,     0.000,
    74.104,   600.000,   123.801,     8.171,    -0.037,    12.447,     0.000,     0.450,    51.451,  2866.000,     1.000,     8.464,  -192.314,     0.000,   236.041,   348.898,    52.035,    27.423,     0.000,
    74.201,   600.000,   123.800,     8.327,    -0.035,    12.547,     0.000,     0.450,    51.450,  2866.000,     1.000,     8.519,  -202.703,     0.000,   230.168,   348.698,    49.416,    34.756,     0.000,
    74.306,   600.000,   123.800,     8.449,    -0.031,    11.963,    83.810,     0.450,    51.450,  2866.000,     1.000,     8.554,  -100.877,    79.066,   238.938,   348.443,    45.406,    25.032,     0.000,
    74.403,   600.000,   123.799,     8.538,    -0.022,    12.649,   536.722,     0.450,    51.449,  2866.000,     1.000,     8.619,   379.057,   506.342,   260.190,   348.742,    39.536,    -0.803,     0.000,
    74.500,   600.000,   123.799,     8.592,    -0.013,    12.632,   789.025,     0.450,    51.449,  2866.000,     1.000,     8.711,   649.746,   744.363,   281.808,   349.994,    44.779,   -18.348,     0.000,
    74.604,   600.000,   123.799,     8.621,    -0.006,    12.598,   682.543,     0.450,    51.449,  2866.000,     1.000,     8.808,   575.429,   643.908,   297.192,   351.483,    47.449,   -33.261,     0.000,
    74.701,   600.000,   123.799,     8.633,    -0.002,    12.619,   248.180,     0.450,    51.449,  2866.000,     1.000,     8.841,   156.098,   234.132,   295.473,   352.052,    50.774,   -29.318,     0.000,
    74.806,   600.000,   123.799,     8.632,    -0.001,    12.664,     0.000,     0.450,    51.449,  2866.000,     1.000,     8.795,  -111.995,     0.000,   278.344,   351.438,    49.939,   -11.037,     0.000,
    74.903,   600.000,   123.799,     8.616,    -0.003,    12.572,     0.000,     0.450,    51.449,  2866.000,     1.000,     8.697,  -147.653,     0.000,   254.994,   350.556,    43.924,     8.167,     0.000,
    75.000,   600.000,   123.800,     8.596,    -0.006,    12.565,     0.000,     0.450,    51.450,  2866.000,     1.000,     8.590,  -149.953,     0.000,   247.747,   349.782,    37.721,    10.197,     0.000,
    75.104,   600.000,   123.800,     8.576,    -0.008,    12.331,     0.000,     0.450,    51.450,  2866.000,     1.000,     8.501,  -179.014,     0.000,   238.948,   349.120,    45.650,    23.192,     0.000,
    75.201,   600.000,   123.800,     8.557,    -0.008,    12.759,     0.000,     0.450,    51.450,  2866.000,     1.000,     8.445,  -191.704,     0.000,   232.656,   348.563,    45.808,    29.990,     0.000,
    75.306,   600.000,   123.800,     8.513,    -0.006,    12.259,    84.056,     0.450,    51.450,  2866.000,     1.000,     8.369,   -79.756,    79.298,   244.564,   348.178,    36.742,    18.698,     0.000,
    75.403,   600.000,   123.799,     8.448,     0.000,    12.372,   370.040,     0.450,    51.449,  2866.000,     1.000,     8.333,   277.549,   349.095,   291.842,   348.295,    24.457,    -9.363,     0.000,
    75.500,   600.000,   123.799,     8.369,     0.012,    12.454,   554.113,     0.450,    51.449,  2866.000,     1.000,     8.339,   517.561,   522.749,   331.325,   349.077,    38.752,   -51.317,     0.000,
    75.604,   600.000,   123.798,     8.229,     0.028,    12.282,   417.431,     0.450,    51.448,  2866.000,     1.000,     8.334,   426.627,   393.803,   352.550,   349.886,    42.675,   -72.835,     0.000,
    75.701,   600.000,   123.798,     8.028,     0.041,    12.682,   227.789,     0.450,    51.448,  2866.000,     1.000,     8.283,   207.379,   214.895,   319.881,   349.950,    39.711,   -62.264,     0.000,
    75.806,   600.000,   123.799,     7.850,     0.046,    12.694,     0.000,     0.450,    51.449,  2866.000,     1.000,     8.177,   -59.040,     0.000,   289.872,   349.128,    32.223,   -32.439,     0.000,
    75.903,   600.000,   123.799,     7.742,     0.043,    12.641,     0.000,     0.450,    51.449,  2866.000,     1.000,     8.068,   -96.251,     0.000,   269.022,   348.269,    26.165,    -9.161,     0.000,
    76.000,   600.000,   123.799,     7.640,     0.038,    12.710,     0.000,     0.450,    51.449,  2866.000,     1.000,     7.965,  -113.888,     0.000,   256.870,   347.447,    22.457,     0.854,     0.000,
    76.104,   600.000,   123.799,     7.574,     0.031,    12.683,     0.000,     0.450,    51.449,  2866.000,     1.000,     7.879,   -75.628,     0.000,   278.065,   346.749,    15.494,    -8.549,     0.000,
    76.201,   600.000,   123.799,     7.544,     0.025,    12.618,     0.000,     0.450,    51.449,  2866.000,     1.000,     7.828,   -31.886,     0.000,   306.840,   346.356,     6.582,   -14.212,     0.000,
    76.306,   600.000,   123.799,     7.538,     0.018,    12.067,    32.215,     0.450,    51.449,  2866.000,     1.000,     7.806,    37.655,    30.392,   328.264,   346.145,    -5.677,   -19.468,     0.000,
    76.403,   600.000,   123.798,     7.542,     0.017,    12.573,   192.093,     0.450,    51.448,  2866.000,     1.000,     7.813,   227.074,   181.220,   336.192,   346.309,   -23.931,   -32.040,     0.000,
    76.500,   600.000,   123.798,     7.542,     0.016,    12.605,   286.423,     0.450,    51.448,  2866.000,     1.000,     7.836,   354.494,   270.210,   351.796,   346.835,   -36.857,   -42.466,     0.000,
    76.604,   600.000,   123.798,     7.539,     0.015,    12.666,   242.339,     0.450,    51.448,  2866.000,     1.000,     7.866,   313.702,   228.622,   352.933,   347.421,   -37.027,   -42.541,     0.000,
    76.701,   600.000,   123.798,     7.545,     0.014,    12.612,    90.664,     0.450,    51.448,  2866.000,     1.000,     7.886,   162.233,    85.532,   350.904,   347.625,   -34.824,   -38.597,     0.000,
    76.806,   600.000,   123.798,     7.571,     0.012,    12.603,     0.000,     0.450,    51.448,  2866.000,     1.000,     7.900,    68.731,     0.000,   347.598,   347.451,   -33.682,   -34.902,     0.000,
    76.903,   600.000,   123.798,     7.612,     0.011,    12.674,     0.000,     0.450,    51.448,  2866.000,     1.000,     7.918,    66.051,     0.000,   345.675,   347.262,   -33.922,   -33.715,     0.000,
