 JDAY,ELEVATION(m),TEMPERATURE(C)
   75.5000,  110.35,    7.68,
   75.5000,  108.35,    7.58,
   75.5000,  106.35,    7.50,
   75.5000,  104.35,    7.42,
   75.5000,  102.35,    7.34,
   75.5000,  100.35,    7.27,
   75.5000,   98.35,    7.20,
   75.5000,   96.35,    7.15,
   75.5000,   94.35,    7.11,
   75.5000,   92.35,    7.07,
   75.5000,   90.35,    7.04,
   75.5000,   88.35,    6.99,
   75.5000,   86.35,    6.95,
   75.5000,   84.35,    6.91,
   75.5000,   82.35,    6.88,
   75.5000,   80.35,    6.85,
   75.5000,   78.35,    6.81,
   75.5000,   76.35,    6.76,
   75.5000,   74.35,    6.71,
   75.5000,   72.35,    6.70,
   75.5000,   70.35,    6.70,
   75.5000,   68.35,    6.70,
   76.5000,  123.90,  -99.00,
   76.5000,  123.80,    8.10,
   76.5000,  120.35,    7.86,
   76.5000,  118.35,    7.64,
   76.5000,  116.35,    7.63,
   76.5000,  114.35,    7.54,
   76.5000,  112.35,    7.46,
   76.5000,  110.35,    7.39,
   76.5000,  108.35,    7.34,
   76.5000,  106.35,    7.29,
   76.5000,  104.35,    7.24,
   76.5000,  102.35,    7.20,
   76.5000,  100.35,    7.17,
   76.5000,   98.35,    7.13,
   76.5000,   96.35,    7.10,
   76.5000,   94.35,    7.07,
   76.5000,   92.35,    7.04,
   76.5000,   90.35,    7.01,
   76.5000,   88.35,    6.97,
   76.5000,   86.35,    6.92,
   76.5000,   84.35,    6.88,
   76.5000,   82.35,    6.86,
   76.5000,   80.35,    6.84,
   76.5000,   78.35,    6.82,
   76.5000,   76.35,    6.80,
   76.5000,   74.35,    6.76,
   76.5000,   72.35,    6.72,
   76.5000,   70.35,    6.72,
   76.5000,   68.35,    6.72,
   77.5000,  123.90,  -99.00,
   77.5000,  123.80,    8.18,
   77.5000,  120.35,    8.13,
   77.5000,  118.35,    8.08,
   77.5000,  116.35,    8.02,
   77.5000,  114.35,    7.93,
   77.5000,  112.35,    7.85,
   77.5000,  110.35,    7.79,
   77.5000,  108.35,    7.76,
   77.5000,  106.35,    7.75,
   77.5000,  104.35,    7.72,
   77.5000,  102.35,    7.67,
   77.5000,  100.35,    7.61,
   77.5000,   98.35,    7.54,
   77.5000,   96.35,    7.47,
   77.5000,   94.35,    7.38,
   77.5000,   92.35,    7.28,
   77.5000,   90.35,    7.19,
   77.5000,   88.35,    7.12,
   77.5000,   86.35,    7.04,
   77.5000,   84.35,    6.97,
   77.5000,   82.35,    6.90,
   77.5000,   80.35,    6.86,
   77.5000,   78.35,    6.83,
   77.5000,   76.35,    6.82,
   77.5000,   74.35,    6.79,
   77.5000,   72.35,    6.75,
   77.5000,   70.35,    6.74,
   77.5000,   68.35,    6.73,
   78.5000,  123.90,  -99.00,
   78.5000,  123.80,    9.20,
   78.5000,  120.35,    8.99,
   78.5000,  118.35,    8.88,
   78.5000,  116.35,    8.84,
   78.5000,  114.35,    8.83,
   78.5000,  112.35,    8.82,
   78.5000,  110.35,    8.81,
   78.5000,  108.35,    8.81,
   78.5000,  106.35,    8.80,
